rank,indicator,category,name,precision,recall,f1,false_alarm_rate,avg_lead_time,median_lead_time,total_signals,true_positives,detected_crashes,total_crashes,consistency_across_assets,normalized_lead_time,composite_score,base_rate,precision_lift
1,M5,momentum,Stochastic %K/%D Cross (>80),0.49280177187153934,0.6966292134831461,0.5772509964327186,0.5071982281284607,9.88706594285594,10.166666666666666,903,445,186,267,0.8888888888888888,0.23376149726549353,0.5445113027852692,0.3891841424877909,1.2662431946003532
2,VOL6,volume,Down/Up Volume Ratio Spike,0.3503184713375796,0.846441947565543,0.4955448801004644,0.6496815286624203,10.746456329992085,10.61111111111111,1256,440,226,267,1.0,0.3641459347322402,0.5413916127700117,0.3891841424877909,0.9001355222189441
3,M7,momentum,Williams %R Overbought Exit,0.4563445867287544,0.7078651685393258,0.5549351160047189,0.5436554132712457,9.712207324951576,9.777777777777779,859,392,189,267,0.8888888888888888,0.20723241005095203,0.5251123358957402,0.3891841424877909,1.1725672680588994
4,M8,momentum,ROC Negative Turn,0.37087378640776697,0.7865168539325843,0.5040622820411318,0.629126213592233,9.759010471573681,9.11111111111111,1030,382,210,267,1.0,0.21433325971757755,0.5142160956446662,0.3891841424877909,0.9529519472119851
5,V7,volatility,Consecutive Down Candles,0.3304442036836403,0.7340823970037453,0.45573924213720207,0.6695557963163596,11.027691614082402,11.61111111111111,923,305,196,267,1.0,0.40681420850024497,0.5097648323677932,0.3891841424877909,0.8490690334177906
6,X5,cross_asset,All-Sector Simultaneous Weakness,0.33106382978723403,0.8014981273408239,0.46857840833293457,0.668936170212766,9.994521383688484,9.166666666666666,1175,389,214,267,1.0,0.25006435265625665,0.5034160996272615,0.3891841424877909,0.8506611489126124
7,VOL3,volume,CMF Negative Flip,0.36394557823129253,0.6292134831460674,0.4611536537499519,0.6360544217687075,11.120674802771578,11.277777777777779,882,321,168,267,1.0,0.42092137205777963,0.5024143657108301,0.3891841424877909,0.9351500703621548
8,M6,momentum,CCI Extreme Reversal,0.4717948717948718,0.49063670411985016,0.48103135165339556,0.5282051282051282,9.831586484463722,9.333333333333334,390,184,131,267,1.0,0.22534430051567322,0.49235825700474944,0.3891841424877909,1.2122664319748653
9,V4,volatility,Garman-Klass Vol Spike (2σ),0.38023952095808383,0.6666666666666666,0.4842707340324118,0.6197604790419161,9.557842213405713,8.333333333333334,668,254,178,267,1.0,0.1838125434400745,0.4843583086617198,0.3891841424877909,0.9770169938771653
10,VOL4,volume,VPT EMA Breakdown,0.3593350383631714,0.6292134831460674,0.4574352116975044,0.6406649616368286,9.842926970326396,9.722222222222221,782,281,168,267,1.0,0.22706484904860672,0.47103061732539353,0.3891841424877909,0.9233033906936332
11,VOL5,volume,Force Index Negative Flip,0.35574572127139364,0.6629213483146067,0.4630196464448969,0.6442542787286064,9.49926476178987,9.333333333333334,818,291,177,267,1.0,0.17492532734888808,0.4698419968166817,0.3891841424877909,0.9140807202404291
12,V5,volatility,Daily Range Expansion (2σ),0.36885245901639346,0.550561797752809,0.44175097666032254,0.6311475409836066,9.720567459021565,9.444444444444445,610,225,147,267,1.0,0.2085007874893994,0.4533417970698088,0.3891841424877909,0.947758191427249
13,VOL2,volume,OBV Bearish Divergence,0.5538461538461539,0.19101123595505617,0.28405662566720813,0.4461538461538462,11.248224306557638,10.833333333333334,130,72,51,267,0.4444444444444444,0.44027284555485696,0.435161257189514,0.3891841424877909,1.4230953766661463
14,T5,trend,Parabolic SAR Bearish Flip,0.3382352941176471,0.6254681647940075,0.43904669371892324,0.6617647058823529,8.622131052268351,7.666666666666667,544,184,167,267,1.0,0.041848919919901494,0.43176202624531057,0.3891841424877909,0.8690880670408042
15,V2,volatility,BB Squeeze -> Expansion,0.4024896265560166,0.34831460674157305,0.37344759066070543,0.5975103734439834,10.837917637917638,11.5,241,97,93,267,0.6666666666666666,0.3780222025638897,0.4116934620146517,0.3891841424877909,1.0341881454449116
16,T7,trend,Ichimoku Cloud Breakdown,0.3734015345268542,0.33707865168539325,0.35431160006471446,0.6265984654731458,10.672730305262723,11.11111111111111,391,146,90,267,0.7777777777777778,0.35296041717830173,0.40169227053929846,0.3891841424877909,0.9594469397955191
17,M4,momentum,MACD Histogram Neg Flip,0.3073770491803279,0.4794007490636704,0.3745829837875802,0.6926229508196722,9.8408604467428,9.777777777777779,488,150,128,267,0.8888888888888888,0.22675132155401054,0.39644029897807204,0.3891841424877909,0.7897984928560409
18,M3,momentum,MACD Dead Cross,0.3073770491803279,0.4794007490636704,0.3745829837875802,0.6926229508196722,9.8408604467428,9.777777777777779,488,150,128,267,0.8888888888888888,0.22675132155401054,0.39644029897807204,0.3891841424877909,0.7897984928560409
19,M1,momentum,RSI Overbought Exit,0.4716981132075472,0.26217228464419473,0.3370245546461242,0.5283018867924528,9.035565896092212,8.444444444444445,212,100,70,267,0.7777777777777778,0.10457416137944633,0.394856029749517,0.3891841424877909,1.2120178129363142
20,X4,cross_asset,Market Breadth Deterioration,0.3158783783783784,0.49812734082397003,0.38660086270547545,0.6841216216216216,9.591920692029387,9.555555555555555,592,187,133,267,0.7777777777777778,0.18898284011965125,0.38859622819090717,0.3891841424877909,0.8116424691899872
21,X2,cross_asset,Multi-Asset RSI Overbought,0.5319148936170213,0.1760299625468165,0.2645204862674471,0.46808510638297873,9.743756243756243,10.0,141,75,47,267,0.3333333333333333,0.21201892860247837,0.37510111006891983,0.3891841424877909,1.3667434911835032
22,T6,trend,Lower High + Lower Low,0.35315985130111527,0.33707865168539325,0.34493192133131617,0.6468401486988847,10.701444851444851,10.222222222222221,269,95,90,267,0.5555555555555556,0.35731691220909445,0.37000268095882566,0.3891841424877909,0.9074363848526903
23,X1,cross_asset,Broad Alt Weakness vs BTC,0.28193832599118945,0.35580524344569286,0.314593951310377,0.7180616740088106,10.97800287756428,10.722222222222221,454,128,95,267,0.6666666666666666,0.39927556476356296,0.356478475238219,0.3891841424877909,0.7244342592916261
24,V1,volatility,Bollinger Lower Break,0.2647058823529412,0.31086142322097376,0.28593301435406693,0.7352941176470589,12.261470129362285,14.166666666666666,408,108,83,267,0.3333333333333333,0.593999822955857,0.3325016037584259,0.3891841424877909,0.6801558785536728
25,M2,momentum,RSI Bearish Divergence,0.4608695652173913,0.13108614232209737,0.20411531690140844,0.5391304347826087,9.968894993894995,9.444444444444445,115,53,35,267,0.1111111111111111,0.24617638454823274,0.31124388698256605,0.3891841424877909,1.1841940996654283
26,T2,trend,MA Dead Cross (50/200),0.2926829268292683,0.0449438202247191,0.07792207792207792,0.7073170731707317,14.9375,15.0625,41,12,12,267,0.0,1.0,0.3075774184708139,0.3891841424877909,0.7520422722219471
27,X6,cross_asset,Volume-Weighted Market Momentum,0.3181818181818182,0.18352059925093633,0.23277909738717342,0.6818181818181818,11.703174603174602,12.333333333333334,154,49,49,267,0.1111111111111111,0.5092967017529775,0.29247667527770094,0.3891841424877909,0.8175611065443138
28,V6,volatility,Keltner Lower Break,0.22388059701492538,0.15355805243445692,0.18216824644549762,0.7761194029850746,14.264814814814814,14.61111111111111,201,45,41,267,0.0,0.8979419821591627,0.2850211089399513,0.3891841424877909,0.5752562156921611
29,VOL1,volume,Abnormal Volume Spike (down day),0.2951388888888889,0.27715355805243447,0.28586361260708526,0.7048611111111112,9.188692480359146,8.444444444444445,288,85,74,267,0.4444444444444444,0.1278061219060023,0.28047319668789783,0.3891841424877909,0.7583528121219577
30,X3,cross_asset,Cross-Asset Correlation Spike,0.38235294117647056,0.033707865168539325,0.061953931691818905,0.6176470588235294,11.833333333333334,12.166666666666666,34,13,9,267,0.0,0.5290440401770037,0.27896004290692067,0.3891841424877909,0.9824473801330829
31,T4,trend,ADX +DI/-DI Bearish Cross,0.36752136752136755,0.149812734082397,0.2128581152156426,0.6324786324786325,9.413149350649352,8.4375,117,43,40,267,0.3333333333333333,0.1618601248438997,0.2788262193412013,0.3891841424877909,0.9443379814296958
32,T3,trend,Close Breaks Below EMA(200),0.3316582914572864,0.16104868913857678,0.21681500439283394,0.6683417085427136,10.261576078242745,10.666666666666666,199,66,43,267,0.2222222222222222,0.2905811848707122,0.2719007179661165,0.3891841424877909,0.8521886049550205
33,T1,trend,EMA Dead Cross (20/50),0.328,0.15355805243445692,0.20918367346938774,0.672,10.355026455026454,11.055555555555555,125,41,41,267,0.2222222222222222,0.3047592289707903,0.27032561967645496,0.3891841424877909,0.8427887064033954
34,X7,cross_asset,Volatility Regime Shift,0.25885558583106266,0.24344569288389514,0.25091426249492077,0.7411444141689373,9.67907863741197,9.61111111111111,367,95,65,267,0.2222222222222222,0.20220621316357776,0.242842370333264,0.3891841424877909,0.6651236717312634
35,V3,volatility,ATR Spike,0.43103448275862066,0.08239700374531835,0.13834737768834107,0.5689655172413793,8.346296296296297,8.166666666666666,58,25,22,267,0.0,0.0,0.23611649231563991,0.3891841424877909,1.1075335187176663
