strategy_id,base_id,module,base_oos_return,cand_oos_return,delta_oos_return,base_oos_sharpe,cand_oos_sharpe,base_oos_pf,cand_oos_pf,base_oos_trades,cand_oos_trades,is_return_base,is_return_cand,is_gate_pass,verdict
S1.11_S_aggr+F1,S1.11_S_aggr,F,24.096085480002714,40.509874729696946,16.413789249694233,0.3154663589227684,0.5042640037487502,1.1111053173539964,1.289503644932024,441,462,42.3710665868987,31.501006457263706,False,adopt
S1.11_S_aggr+B2,S1.11_S_aggr,B,24.096085480002714,36.162169439391874,12.066083959389161,0.3154663589227684,0.7820534152618204,1.1111053173539964,1.2623039726761311,441,569,42.3710665868987,59.42792808408995,True,adopt
S1.11_S_aggr+A3+B2,S1.11_S_aggr,combo,24.096085480002714,34.60644880750725,10.510363327504535,0.3154663589227684,0.48147481222270144,1.1111053173539964,1.236058227931585,441,506,42.3710665868987,58.54291471813114,True,adopt
S1.11_S_aggr+B3,S1.11_S_aggr,B,24.096085480002714,33.88704592267382,9.790960442671107,0.3154663589227684,0.6075511496191893,1.1111053173539964,1.194644273095553,441,537,42.3710665868987,53.17086691727611,True,adopt
S1.11_S_aggr+D1,S1.11_S_aggr,D,24.096085480002714,29.657011790869365,5.560926310866652,0.3154663589227684,0.40118577089998675,1.1111053173539964,1.1437670692368902,441,354,42.3710665868987,45.43243368665373,True,adopt
S1.11_S_aggr+A1,S1.11_S_aggr,A,24.096085480002714,28.562443179474833,4.46635769947212,0.3154663589227684,0.28773851127286715,1.1111053173539964,1.13914315498628,441,372,42.3710665868987,44.12111374969736,True,adopt
S1.11_S_aggr+A2,S1.11_S_aggr,A,24.096085480002714,27.6647046057371,3.5686191257343864,0.3154663589227684,0.3642387995825948,1.1111053173539964,1.15760927032609,441,428,42.3710665868987,38.311880247394825,False,adopt
S1.11_S_aggr+B1,S1.11_S_aggr,B,24.096085480002714,27.57626416674247,3.4801786867397553,0.3154663589227684,0.5392307863783332,1.1111053173539964,1.2075411911321905,441,533,42.3710665868987,57.56053910145733,True,adopt
S1.11_S_aggr+A4,S1.11_S_aggr,A,24.096085480002714,21.63452673756062,-2.4615587424420937,0.3154663589227684,0.1988261126944587,1.1111053173539964,1.1162128466918682,441,356,42.3710665868987,34.69196762598037,False,reject
S1.11_S_aggr+D2,S1.11_S_aggr,D,24.096085480002714,19.727767797435792,-4.368317682566921,0.3154663589227684,0.3154663589227684,1.1111053173539964,1.1111053173539964,441,441,42.3710665868987,51.303810502820724,True,reject
S1.11_S_aggr+F3+FC1,S1.11_S_aggr,combo,24.096085480002714,18.54795833949376,-5.548127140508953,0.3154663589227684,0.31795620457186635,1.1111053173539964,1.129285105356361,441,521,42.3710665868987,51.29158638009316,True,reject
S1.11_S_aggr+FC1,S1.11_S_aggr,C,24.096085480002714,16.978850438907784,-7.117235041094929,0.3154663589227684,0.20915825600657867,1.1111053173539964,1.0784600237515642,441,415,42.3710665868987,27.009514119063972,False,reject
S1.11_S_aggr+FC3,S1.11_S_aggr,C,24.096085480002714,12.0752606544767,-12.020824825526013,0.3154663589227684,0.1655051783103925,1.1111053173539964,1.0607830002458585,441,401,42.3710665868987,41.05783675194763,False,reject
S1.11_S_aggr+F2,S1.11_S_aggr,F,24.096085480002714,11.7241139347625,-12.371971545240214,0.3154663589227684,0.06285805067561095,1.1111053173539964,1.063580153323795,441,381,42.3710665868987,9.219885447084408,False,reject
S1.11_S_aggr+F3,S1.11_S_aggr,F,24.096085480002714,9.59647910526076,-14.499606374741953,0.3154663589227684,0.12055988599404419,1.1111053173539964,1.049734817493171,441,563,42.3710665868987,68.42014694683402,True,reject
S1.11_S_aggr+FC5,S1.11_S_aggr,C,24.096085480002714,9.510924921831124,-14.585160558171589,0.3154663589227684,0.14867472064250065,1.1111053173539964,1.0930275564565062,441,261,42.3710665868987,18.14396352146594,False,reject
S1.11_S_aggr+FC4,S1.11_S_aggr,C,24.096085480002714,2.5742367091775353,-21.52184877082518,0.3154663589227684,0.0413365850037133,1.1111053173539964,1.018973178436231,441,301,42.3710665868987,16.143345786316996,False,reject
S1.11_S_aggr+A3+FC1+D1,S1.11_S_aggr,combo,24.096085480002714,-5.1811309368717104,-29.277216416874424,0.3154663589227684,-0.0569902142105992,1.1111053173539964,0.9801443734309437,441,244,42.3710665868987,26.32150347261155,False,reject
S1.11_S_aggr+A3,S1.11_S_aggr,A,24.096085480002714,-11.345700400210404,-35.44178588021312,0.3154663589227684,-0.18378543600655967,1.1111053173539964,0.9385628636338242,441,337,42.3710665868987,47.38860918074665,True,reject
S1.11_S_aggr+A3+FC1,S1.11_S_aggr,combo,24.096085480002714,-11.58495426077906,-35.68103974078177,0.3154663589227684,-0.23357686716944137,1.1111053173539964,0.9249717613032887,441,316,42.3710665868987,18.308458287865136,False,reject
S1.11_S_aggr+FC2,S1.11_S_aggr,C,24.096085480002714,-16.61881270891632,-40.71489818891904,0.3154663589227684,-0.7302469649371793,1.1111053173539964,0.8424274194193193,441,167,42.3710665868987,-35.00338776541868,False,reject
S2.08_L_aggr_F3+A4,S2.08_L_aggr_F3,A,11.772081704779385,27.745671444172736,15.97358973939335,0.6810185100287806,0.9521406308855683,1.4987217680810605,1.9732321928859204,60,58,37.158317398091675,41.06721668465258,True,adopt
S2.08_L_aggr_F3+A2,S2.08_L_aggr_F3,A,11.772081704779385,23.504293629203413,11.732211924424028,0.6810185100287806,1.7088483723327819,1.4987217680810605,2.052992481779474,60,71,37.158317398091675,33.86432919030212,False,adopt
S2.08_L_aggr_F3+F1+FC1,S2.08_L_aggr_F3,combo,11.772081704779385,23.432674912290523,11.660593207511138,0.6810185100287806,1.8437406495888613,1.4987217680810605,1.9791634251654648,60,20,37.158317398091675,25.0203154462176,False,hold
S2.08_L_aggr_F3+F3,S2.08_L_aggr_F3,F,11.772081704779385,19.77885632912586,8.006774624346473,0.6810185100287806,1.5537427383010727,1.4987217680810605,2.255391982701662,60,75,37.158317398091675,18.82883343948431,False,adopt
S2.08_L_aggr_F3+F2,S2.08_L_aggr_F3,F,11.772081704779385,18.77004911539646,6.9979674106170755,0.6810185100287806,0.7850547239690873,1.4987217680810605,1.4600355561124796,60,58,37.158317398091675,31.780448255490544,False,adopt
S2.08_L_aggr_F3+A3,S2.08_L_aggr_F3,A,11.772081704779385,18.269863492846053,6.497781788066668,0.6810185100287806,0.6075685965877308,1.4987217680810605,1.6684734338849385,60,56,37.158317398091675,30.385338467622937,False,adopt
S2.08_L_aggr_F3+B2,S2.08_L_aggr_F3,B,11.772081704779385,14.294089707430384,2.522008002650999,0.6810185100287806,1.2193103597292925,1.4987217680810605,1.6791297907335943,60,64,37.158317398091675,11.91091394455285,False,adopt
S2.08_L_aggr_F3+FC3,S2.08_L_aggr_F3,C,11.772081704779385,14.112233201633334,2.3401514968539487,0.6810185100287806,0.7643400246474069,1.4987217680810605,1.6093722876489507,60,45,37.158317398091675,27.740069529167446,False,adopt
S2.08_L_aggr_F3+F1,S2.08_L_aggr_F3,F,11.772081704779385,13.23199950314438,1.4599177983649945,0.6810185100287806,0.8789523412027034,1.4987217680810605,1.4948955965939663,60,60,37.158317398091675,35.17837368968013,False,adopt
S2.08_L_aggr_F3+A1+B2,S2.08_L_aggr_F3,combo,11.772081704779385,13.063924682236754,1.2918429774573692,0.6810185100287806,0.8962575138272634,1.4987217680810605,1.6173398401116692,60,65,37.158317398091675,10.750223729880426,False,adopt
S2.08_L_aggr_F3+A1+FC1,S2.08_L_aggr_F3,combo,11.772081704779385,12.885041011631582,1.112959306852197,0.6810185100287806,1.0185749483874549,1.4987217680810605,1.6327620600237451,60,20,37.158317398091675,55.19611371761221,True,hold
S2.08_L_aggr_F3+A1,S2.08_L_aggr_F3,A,11.772081704779385,12.832589578475979,1.0605078736965936,0.6810185100287806,0.5870094368271382,1.4987217680810605,1.7042052183072844,60,58,37.158317398091675,41.747312114148706,True,adopt
S2.08_L_aggr_F3+B1,S2.08_L_aggr_F3,B,11.772081704779385,12.052676019331368,0.28059431455198336,0.6810185100287806,0.3675699816598591,1.4987217680810605,1.618751199045987,60,64,37.158317398091675,14.618886756008902,False,adopt
S2.08_L_aggr_F3+B3,S2.08_L_aggr_F3,B,11.772081704779385,11.806902167491165,0.034820462711779854,0.6810185100287806,0.9810287718364996,1.4987217680810605,1.5781051505077386,60,64,37.158317398091675,15.785448854990404,False,adopt
S2.08_L_aggr_F3+D2,S2.08_L_aggr_F3,D,11.772081704779385,10.029906376803337,-1.7421753279760477,0.6810185100287806,0.6810185100287806,1.4987217680810605,1.4987217680810605,60,60,37.158317398091675,44.032569585454425,True,reject
S2.08_L_aggr_F3+FC1,S2.08_L_aggr_F3,C,11.772081704779385,9.985553546756003,-1.7865281580233816,0.6810185100287806,0.8188210964495394,1.4987217680810605,1.2361630309043048,60,20,37.158317398091675,32.58842780634963,False,reject
S2.08_L_aggr_F3+D1,S2.08_L_aggr_F3,D,11.772081704779385,7.569444087545637,-4.202637617233748,0.6810185100287806,0.4408984729365744,1.4987217680810605,1.2919316275223356,60,49,37.158317398091675,44.02215348295285,True,reject
S2.08_L_aggr_F3+A1+FC1+D1,S2.08_L_aggr_F3,combo,11.772081704779385,3.295649925913313,-8.476431778866072,0.6810185100287806,0.17701589718442548,1.4987217680810605,1.0775975160385645,60,10,37.158317398091675,77.16939437920396,True,reject
S2.08_L_aggr_F3+FC2,S2.08_L_aggr_F3,C,11.772081704779385,,,0.6810185100287806,,1.4987217680810605,,60,25,37.158317398091675,,False,reject
S2.08_L_aggr_F3+FC4,S2.08_L_aggr_F3,C,11.772081704779385,,,0.6810185100287806,,1.4987217680810605,,60,45,37.158317398091675,,False,reject
S2.08_L_aggr_F3+FC5,S2.08_L_aggr_F3,C,11.772081704779385,,,0.6810185100287806,,1.4987217680810605,,60,38,37.158317398091675,,False,reject
S2.08_L_aggr_F9+A3+B2,S2.08_L_aggr_F9,combo,16.576320977861428,39.5173603210287,22.94103934316727,0.5898309509575087,1.6084200386728662,1.2617331524901496,2.140435746972444,189,187,43.50263320077633,16.117647105363986,False,adopt
S2.08_L_aggr_F9+F3,S2.08_L_aggr_F9,F,16.576320977861428,39.03150728946625,22.45518631160482,0.5898309509575087,2.065782766313569,1.2617331524901496,2.236095779116375,189,195,43.50263320077633,18.102574687206438,False,adopt
S2.08_L_aggr_F9+B2,S2.08_L_aggr_F9,B,16.576320977861428,38.57618415483315,21.999863176971722,0.5898309509575087,2.201524940257643,1.2617331524901496,2.153126913919186,189,193,43.50263320077633,14.091221300342674,False,adopt
S2.08_L_aggr_F9+F1,S2.08_L_aggr_F9,F,16.576320977861428,37.66616070618565,21.089839728324222,0.5898309509575087,1.2160813652342712,1.2617331524901496,1.7867578212457171,189,184,43.50263320077633,27.264144024734595,False,adopt
S2.08_L_aggr_F9+B1,S2.08_L_aggr_F9,B,16.576320977861428,35.770099731198826,19.193778753337398,0.5898309509575087,1.7677098305206895,1.2617331524901496,2.0503758237487872,189,192,43.50263320077633,18.75010655805648,False,adopt
S2.08_L_aggr_F9+B3,S2.08_L_aggr_F9,B,16.576320977861428,34.9886592561507,18.41233827828927,0.5898309509575087,1.8444071646927793,1.2617331524901496,1.9316304261040642,189,189,43.50263320077633,20.233826536114595,False,adopt
S2.08_L_aggr_F9+A4,S2.08_L_aggr_F9,A,16.576320977861428,23.810893761557498,7.23457278369607,0.5898309509575087,0.3175087292827242,1.2617331524901496,1.2903703653986425,189,184,43.50263320077633,44.64378235167834,True,adopt
S2.08_L_aggr_F9+F2,S2.08_L_aggr_F9,F,16.576320977861428,23.053299195722488,6.47697821786106,0.5898309509575087,0.46486794565068706,1.2617331524901496,1.3231533391872534,189,182,43.50263320077633,49.98776116708589,True,adopt
S2.08_L_aggr_F9+A2,S2.08_L_aggr_F9,A,16.576320977861428,19.972823531514905,3.3965025536534768,0.5898309509575087,0.6615592355371857,1.2617331524901496,1.355698457792267,189,190,43.50263320077633,27.073192082095048,False,adopt
S2.08_L_aggr_F9+D2,S2.08_L_aggr_F9,D,16.576320977861428,14.647458097917859,-1.9288628799435692,0.5898309509575087,0.5898309509575087,1.2617331524901496,1.2617331524901496,189,189,43.50263320077633,44.43689549311835,True,reject
S2.08_L_aggr_F9+FC3,S2.08_L_aggr_F9,C,16.576320977861428,13.447817159153134,-3.1285038187082943,0.5898309509575087,0.5319426616452092,1.2617331524901496,1.2485364830231824,189,160,43.50263320077633,34.04808837938662,False,reject
S2.08_L_aggr_F9+A1,S2.08_L_aggr_F9,A,16.576320977861428,10.59604790681412,-5.980273071047309,0.5898309509575087,0.2161952671018904,1.2617331524901496,1.173662343985959,189,184,43.50263320077633,33.583356651903344,False,reject
S2.08_L_aggr_F9+F2+FC1,S2.08_L_aggr_F9,combo,16.576320977861428,5.9963760392491245,-10.579944938612304,0.5898309509575087,-0.05809264721675647,1.2617331524901496,1.0912834151357258,189,157,43.50263320077633,36.62421496427517,False,reject
S2.08_L_aggr_F9+A3,S2.08_L_aggr_F9,A,16.576320977861428,5.680326872046136,-10.895994105815292,0.5898309509575087,0.07847583943514641,1.2617331524901496,1.1117996650207447,189,177,43.50263320077633,46.47382810877308,True,reject
S2.08_L_aggr_F9+FC1,S2.08_L_aggr_F9,C,16.576320977861428,3.3056611855733746,-13.270659792288054,0.5898309509575087,0.14470898041716287,1.2617331524901496,1.081179139928617,189,162,43.50263320077633,44.965203322200196,True,reject
S2.08_L_aggr_F9+D1,S2.08_L_aggr_F9,D,16.576320977861428,0.6849908055570951,-15.891330172304333,0.5898309509575087,0.08000577203854935,1.2617331524901496,1.047447609914693,189,180,43.50263320077633,50.71040375926801,True,reject
S2.08_L_aggr_F9+FC4,S2.08_L_aggr_F9,C,16.576320977861428,-6.676496962196823,-23.25281794005825,0.5898309509575087,-0.5525827683879572,1.2617331524901496,0.8844931302300044,189,103,43.50263320077633,-18.871198568872927,False,reject
S2.08_L_aggr_F9+A3+FC1,S2.08_L_aggr_F9,combo,16.576320977861428,-12.648315286339008,-29.224636264200434,0.5898309509575087,-0.3779068765577971,1.2617331524901496,0.8967848215329265,189,152,43.50263320077633,51.33903309898058,True,reject
S2.08_L_aggr_F9+A3+FC1+D1,S2.08_L_aggr_F9,combo,16.576320977861428,-22.759366213345995,-39.33568719120743,0.5898309509575087,-0.5191666411585756,1.2617331524901496,0.8660902225801176,189,139,43.50263320077633,28.812179848381845,False,reject
S2.08_L_aggr_F9+FC2,S2.08_L_aggr_F9,C,16.576320977861428,,,0.5898309509575087,,1.2617331524901496,,189,50,43.50263320077633,,False,reject
S2.08_L_aggr_F9+FC5,S2.08_L_aggr_F9,C,16.576320977861428,,,0.5898309509575087,,1.2617331524901496,,189,71,43.50263320077633,10.150064158798015,False,reject
S3.12_S_aggr_F8+F1,S3.12_S_aggr_F8,F,43.621023093201615,51.842983815808445,8.22196072260683,0.7178704813207012,0.7492993469197169,1.272316957650161,1.429722951190171,374,386,57.07911737605112,13.466335981465997,False,adopt
S3.12_S_aggr_F8+A1+B2,S3.12_S_aggr_F8,combo,43.621023093201615,50.63235828992919,7.011335196727579,0.7178704813207012,1.0924820811075588,1.272316957650161,1.5777804863807272,374,423,57.07911737605112,40.30231303788104,False,adopt
S3.12_S_aggr_F8+A1,S3.12_S_aggr_F8,A,43.621023093201615,46.81612507258893,3.195101979387317,0.7178704813207012,0.6640338336349111,1.272316957650161,1.3355072106054031,374,305,57.07911737605112,18.75083031026062,False,adopt
S3.12_S_aggr_F8+A1+FC1,S3.12_S_aggr_F8,combo,43.621023093201615,46.291572347306314,2.6705492541046993,0.7178704813207012,0.6858140464430221,1.272316957650161,1.3544253172482303,374,285,57.07911737605112,4.631127821656148,False,adopt
S3.12_S_aggr_F8+B1,S3.12_S_aggr_F8,B,43.621023093201615,45.25041906031278,1.629395967111165,0.7178704813207012,1.0641424671746509,1.272316957650161,1.5352839493185546,374,424,57.07911737605112,43.70227810288042,False,adopt
S3.12_S_aggr_F8+D2,S3.12_S_aggr_F8,D,43.621023093201615,45.072483586603035,1.4514604934014201,0.7178704813207012,0.7178704813207012,1.272316957650161,1.272316957650161,374,374,57.07911737605112,66.97968566632008,True,hold
S3.12_S_aggr_F8+B2,S3.12_S_aggr_F8,B,43.621023093201615,45.06267263799475,1.4416495447931368,0.7178704813207012,1.2157703929019428,1.272316957650161,1.5070934735413264,374,456,57.07911737605112,36.24958248755714,False,adopt
S3.12_S_aggr_F8+F3,S3.12_S_aggr_F8,F,43.621023093201615,44.373758329873525,0.75273523667191,0.7178704813207012,0.9386425905608982,1.272316957650161,1.4319345277962752,374,448,57.07911737605112,45.83395537681933,False,adopt
S3.12_S_aggr_F8+F3+FC1,S3.12_S_aggr_F8,combo,43.621023093201615,43.786972050560315,0.16594895735870097,0.7178704813207012,0.980123131352503,1.272316957650161,1.4896767285258359,374,412,57.07911737605112,26.512356003204726,False,adopt
S3.12_S_aggr_F8+A2,S3.12_S_aggr_F8,A,43.621023093201615,41.601002981489906,-2.020020111711709,0.7178704813207012,0.5879336514819692,1.272316957650161,1.251170916235586,374,350,57.07911737605112,17.35665864654549,False,reject
S3.12_S_aggr_F8+FC1,S3.12_S_aggr_F8,C,43.621023093201615,39.806067284846414,-3.814955808355201,0.7178704813207012,0.6850431819572111,1.272316957650161,1.2673736396899864,374,350,57.07911737605112,32.03785627200311,False,reject
S3.12_S_aggr_F8+A3,S3.12_S_aggr_F8,A,43.621023093201615,35.96618885359471,-7.654834239606906,0.7178704813207012,0.5041727176305206,1.272316957650161,1.3063350420404878,374,283,57.07911737605112,1.4592201548325963,False,reject
S3.12_S_aggr_F8+B3,S3.12_S_aggr_F8,B,43.621023093201615,33.05549737667546,-10.565525716526153,0.7178704813207012,0.7530767053234757,1.272316957650161,1.2537362102991882,374,439,57.07911737605112,37.17882673883794,False,reject
S3.12_S_aggr_F8+A4,S3.12_S_aggr_F8,A,43.621023093201615,30.357300348141173,-13.263722745060441,0.7178704813207012,0.4116555921755897,1.272316957650161,1.2301631961484765,374,292,57.07911737605112,15.189774144055242,False,reject
S3.12_S_aggr_F8+FC3,S3.12_S_aggr_F8,C,43.621023093201615,28.92566248605088,-14.695360607150736,0.7178704813207012,0.5184771448924431,1.272316957650161,1.195700970494713,374,338,57.07911737605112,49.37707674045061,False,reject
